"tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee","vendorid","year","month"
"2022-03-31 23:54:59.000","2022-04-01 00:38:13.000","1.0","13.77","1.0","N","132","181","1","43.0","0.5","0.5","9.11","0.0","0.3","54.66","0.0","1.25","2","2022","3"
"2022-03-31 23:37:49.000","2022-03-31 23:55:07.000","2.0","4.48","1.0","N","48","226","1","15.5","0.5","0.5","4.82","0.0","0.3","24.12","2.5","0.0","2","2022","3"
"2022-03-31 23:53:36.000","2022-04-01 00:02:57.000","1.0","2.45","1.0","N","236","41","1","10.0","0.5","0.5","3.45","0.0","0.3","17.25","2.5","0.0","2","2022","3"
"2022-03-31 23:56:28.000","2022-04-01 00:09:07.000","4.0","2.39","1.0","N","163","140","1","11.0","0.5","0.5","2.96","0.0","0.3","17.76","2.5","0.0","2","2022","3"
"2022-03-31 23:25:52.000","2022-03-31 23:40:37.000","1.0","8.41","1.0","N","138","170","1","24.0","0.5","0.5","7.12","6.55","0.3","42.72","2.5","1.25","2","2022","3"
"2022-03-31 23:45:28.000","2022-03-31 23:53:44.000","1.0","1.16","1.0","N","107","79","1","7.0","0.5","0.5","2.16","0.0","0.3","12.96","2.5","0.0","2","2022","3"
"2022-03-31 23:55:36.000","2022-04-01 00:11:28.000","2.0","3.13","1.0","N","237","107","1","14.0","0.5","0.5","3.56","0.0","0.3","21.36","2.5","0.0","2","2022","3"
"2022-03-31 23:58:58.000","2022-04-01 00:12:36.000","2.0","4.1","1.0","N","79","236","2","14.0","0.5","0.5","0.0","0.0","0.3","17.8","2.5","0.0","2","2022","3"
"2022-03-31 23:59:54.000","2022-04-01 00:11:36.000","1.0","2.37","1.0","N","95","121","1","11.0","0.5","0.5","2.0","0.0","0.3","14.3","0.0","0.0","2","2022","3"
"2022-03-31 23:55:38.000","2022-04-01 00:09:41.000","1.0","2.6","1.0","N","79","100","2","11.0","0.5","0.5","0.0","0.0","0.3","14.8","2.5","0.0","2","2022","3"
